detuning_MHz,photons,accepted_steps,rejected_steps,rhs_calls,solver_elapsed_seconds,rhs_calls_per_second
-80.0,0.010630752035816897,54816,0,328897.0,,
-73.33333333333333,0.01248094894214498,51826,0,310957.0,,
-66.66666666666667,0.014860800522712254,48855,1,293137.0,,
-60.0,0.018043049236237174,45904,2,275437.0,,
-53.33333333333333,0.022351076135124732,42975,6,257887.0,,
-46.666666666666664,0.028549946774304488,40068,5,240439.0,,
-40.0,0.03782233609085505,37186,10,223177.0,,
-33.33333333333333,0.05287776460436142,34329,9,206029.0,,
-26.666666666666664,0.08078292674668575,31498,14,189073.0,,
-20.0,0.1358846925035804,28699,10,172255.0,,
-13.333333333333329,0.3056794580428051,28558,2,171361.0,,
-6.666666666666657,0.73359830119513,28562,1,171379.0,,
0.0,1.177180443122054,28568,0,171409.0,,
6.666666666666671,0.7522212722078453,28573,1,171445.0,,
13.333333333333343,0.37674275032421,28575,2,171463.0,,
20.0,0.4349785041237815,28574,2,171457.0,,
26.66666666666667,1.079195816837425,28570,0,171421.0,,
33.33333333333334,0.8893280407262425,28563,0,171379.0,,
40.0,0.2877151538717937,28558,4,171373.0,,
46.66666666666667,0.13288434636177904,28555,10,171391.0,,
53.33333333333334,0.0743336544908139,30008,16,180145.0,,
60.0,0.04945814064887704,32828,11,197035.0,,
66.66666666666669,0.035113638949164465,35678,11,214135.0,,
73.33333333333334,0.026504513339576506,38554,17,231427.0,,
80.0,0.02086107180429652,41456,15,248827.0,,
