freq_MHz,y,sy
1656.0,-2.237035620781666,2.2393370419436263
1658.0,2.640948644147981,3.544470115575334
1660.0,-4.091293330823763,3.0998101138373584
1662.0,2.247419000685643,3.744885509088629
1664.0,0.1556938687045732,2.8318149688911323
1665.0,4.811008417452427,3.308873550633918
1666.0,5.28773658195219,2.1102977142889934
1667.0,4.501761826721792,5.273878322506234
1668.0,22.53936029457249,2.059664614718517
1669.0,57.016742563288815,5.774913005837225
1670.0,76.29039735211799,3.475939344954098
1671.0,58.6250034464076,3.1398435530500595
1672.0,26.3998988630643,2.1886539775298024
1673.0,8.69586807257631,2.2403488214196816
1674.0,2.635106519623037,1.827884023041483
1675.0,0.7249393536812008,4.984935385773007
1676.0,-0.230640808544208,2.397233923659718
1678.0,3.2087598518571565,4.224644605328388
1680.0,2.600749092387867,2.429685949260434
1681.0,0.1546439060530461,7.313029680370849
1682.0,8.346701915871092,2.714813642130421
1683.0,23.123819988663428,3.5742484123837475
1684.0,45.43774055232059,2.9010461104315075
1685.0,48.23157775310565,3.180176873301904
1686.0,37.7683751231396,2.8543338229200894
1687.0,16.636902981873817,2.2909007006577298
1688.0,9.044709597304465,2.041127336606361
1689.0,3.66818842649674,2.487837138877653
1690.0,3.983905031250884,1.7908006069238511
1691.0,8.619706667917754,1.5720272053612936
1692.0,13.54583705041602,2.558535845067302
1693.0,37.73663037693933,2.6198915669369125
1694.0,72.08723264691623,4.35181293744865
1695.0,78.0877576625834,2.964552463888189
1696.0,48.56775130755256,3.0446088037296266
1697.0,18.004468208665514,1.3798033517359185
1698.0,5.205979574024976,4.188614611877227
1699.0,4.153440214683071,1.6984550995222691
1700.0,0.6458188181996766,3.4894153897804614
1701.0,2.4484850930371778,2.680117508798725
1703.0,6.070283272092478,2.6238898386810185
1705.0,-2.656434805699312,2.3099003320078144
1707.0,2.724359955988403,2.201575412407211
